DateTime,AddedIPs,RemovedIPs
1618247868,424,155
1618250439,55,69
1618254326,267,185
1618256270,63,60
1618259782,153,138
1618261243,52,15
1618262692,41,57
1618265051,59,93
1618267114,139,91
1618277089,640,298
1618282852,229,169
1618284846,106,86
1618286453,41,9
1618289151,82,303
1618290052,111,90
1618296351,41,10440
1618303445,10465,46
1618305864,143,85
1618306444,27,60
1618309803,101,664
1618315577,528,207
1618317244,84,57
1618320336,93,570
1618321811,81,62
1618324751,1136,130
1618325132,0,256
1618327126,83,55
1618331760,148,453
1618333236,45,39
1618334819,48,61
1618336203,62,93
1618338843,338,348
1618342490,89,146
1618347004,161,419
1618349643,102,150
1618351600,336,62
1618353593,61,83
1618360443,485,228
1618362050,41,47
1618369252,223,307
1618374843,231,321
1618378592,170,170
1618380951,63,38
1618381817,58,98
1618383004,51,31
1618386352,145,105
1618389952,191,168
1618391170,67,61
1618393159,72,71
1618396444,150,768
1618400044,391,289
1618402002,108,75
1618403531,71,74
1618407951,144,158
1618410360,74,77
1618411532,257,513
1618415135,132,192
1618418043,94,164
1618419637,47,40
1618421363,15,11849
1618427098,11738,298
1618430441,120,101
1618434943,716,200
1618436043,59,61
1618437880,81,86
1618444047,425,223
1618445748,47,105
1618455652,1114,453
1618457104,86,10
1618457645,33,65
1618459251,14,518
1618461952,7,10338
1618463751,10283,12
1618464843,68,67
1618475647,692,509
1618477565,124,85
1618479003,77,13
1618480852,78,105
1618482981,101,612
1618484452,102,114
1618488053,397,114
1618489925,69,70
1618494334,1193,153
1618494472,50,74
1618497045,75,305
1618498391,320,78
1618504443,528,215
1618506038,42,37
1618507601,63,44
1618509642,52,82
1618511599,362,89
1618514752,14,275
1618524048,482,654
1618525503,84,60
1618525848,256,0
1618527004,64,77
1618529646,308,146
1618531263,57,21
1618534859,161,117
1618538457,131,147
1618541404,127,119
1618545003,124,190
1618548353,592,74
1618555553,328,401
1618556457,68,82
1618560056,197,103
1618561205,13,13
1618561803,62,87
1618563126,41,98
1618565061,11,12
1618565404,110,174
1618565643,12,0
1618566966,14,8
1618567255,44,3
1618568887,73,765
1618570828,328,0
1618572726,18,17
1618573143,164,228
1618574654,20,11
1618575354,75,20
1618576580,35,16
1618577404,121,137
1618578489,21,19
1618578954,53,1064
1618580405,10,16
1618581656,83,91
1618582338,17,12
1618582533,765,256
1618583433,65,41
1618584244,14,4
1618584603,48,70
1618586165,7,17
1618587244,76,80
1618588099,9,14
1618588857,38,57
1618590007,5,10
1618590636,0,256
1618591927,71,71
1618593861,57,51
1618595138,29,66
1618595765,12,25
1618596044,28,31
1618597689,6,12
1618597840,0,248
1618599626,104,181
1618599641,0,253
1618601541,14,19
1618601643,52,135
1618603694,15,18
1618604251,46,333
1618605618,20,11
1618606203,40,102
1618607527,12,10
1618609448,70,74
1618609805,38,94
1618611379,16,14
1618611454,47,59
1618612247,0,255
1618612443,37,86
1618613285,3,14
1618614061,38,81
1618615214,321,0
1618615657,31,0
1618617144,19,94
1618619048,9,8
1618619823,66,102
1618620351,47,206
1618620964,8,18
1618621428,31,128
1618622900,6,18
1618623052,37,0
1618624824,42,171
1618626725,55,81
1618626844,54,112
1618628667,5,11
1618629371,45,112
1618630568,54,114
1618632728,11,275
1618633853,55,113
1618634646,4,11
1618634753,33,86
1618636580,8,29
1618638484,6,21
1618638603,105,262
1618639752,28,83
1618640644,5,17
1618641361,35,113
1618642565,8,22
1618644500,9,20
1618644843,149,294
1618646430,6,19
1618646460,51,122
1618648328,61,12
1618648444,7,121
1618650266,13,12
1618651442,73,108
1618652167,14,13
1618653005,47,136
1618654328,15,663
1618654820,43,44
1618656262,17,11
1618656604,43,153
1618658166,270,0
1618658321,43,72
1618659244,30,78
1618660327,23,10
1618662274,69,102
1618662843,22,54
1618664178,26,8
1618664455,46,0
1618666085,22,10
1618666871,87,143
1618668260,74,113
1618669382,256,256
1618670170,94,60
1618672357,15,16
1618672535,57,56
1618673472,48,46
1618674245,20,8
1618675320,70,48
1618676162,23,5
1618676629,0,256
1618678100,21,14
1618678242,87,58
1618680006,14,15
1618681104,102,92
1618681924,23,15
1618683861,13,9
1618684240,324,60
1618685404,85,66
1618685764,26,16
1618687683,14,9
1618688044,75,131
1618689623,25,14
1618690780,73,50
1618691528,18,12
1618691648,30,60
1618693452,13,12
1618694145,56,64
1618695381,97,75
1618697286,20,10
1618698647,86,54
1618699206,22,12
1618699546,47,60
1618701140,247,0
1618701349,57,66
1618703046,13,9
1618703149,52,69
1618704965,11,16
1618705852,109,147
1618706901,7,6
1618707004,37,17
1618708805,14,11
1618709643,71,113
1618710725,5,8
1618711253,22,0
1618712660,8,5
1618713051,303,137
1618714565,14,11
1618714852,28,24
1618715925,45,39
1618716726,2,11
1618718653,5,6
1618720581,8,13
1618721152,71,188
1618722486,10,11
1618724424,93,162
1618726327,6,10
1618727452,80,81
1618728246,7,16
1618730187,88,203
1618732089,31,93
1618734031,8,14
1618734885,65,145
1618735942,4,13
1618737844,3,16
1618739764,13,10
1618740053,127,159
1618741700,6,539
1618742214,68,101
1618743614,216,0
1618745524,17,9
1618748540,38,17
1618751235,26,8
1618753208,683,503
1618755127,103,15
1618755623,0,751
1618756713,595,161
1618757062,40,12
1618758966,303,8
1618759215,256,0
1618761125,84,7
1618763052,427,153
1618763435,181,213
1618763644,103,62
1618764989,55,8
1618765492,142,49
1618766884,30,8
1618767244,111,52
1618768838,34,11
1618770175,51,0
1618770724,34,5
1618771080,175,82
1618772652,30,5
1618774583,30,7
1618775140,272,81
1618776484,18,4
1618778402,20,6
1618778742,313,90
1618780342,19,11486
1618782244,70,55
1618782344,11494,0
1618784407,24,17
1618785046,0,57
1618786328,40,56
1618788261,194,0
1618788649,0,65
1618788844,0,36
1618790171,19,11
1618792330,36,59
1618792535,0,56
1618794501,18,7
1618794674,0,13
1618796405,25,36
1618797281,0,63
1618798340,28,12
1618799451,0,309
1618800246,33,10
1618801117,0,99
1618802186,45,9
1618803051,0,7
1618803244,0,37
1618804100,15,5
1618806006,25,7
1618806651,0,59
1618807923,39,7
1618808451,0,66
1618809864,23,43
1618810443,0,41
1618811765,25,15
1618812975,0,67
1618813971,30,8
1618813977,0,79
1618815868,18,7
1618816277,0,117
1618817767,22,6
1618819930,18,8
1618821849,14,173
1618823139,0,64
1618823781,21,16
1618824843,0,42
1618825685,24,14
1618826931,0,21
1618827609,17,751
1618828252,0,41
1618829542,32,77
1618831443,268,0
1618831967,0,128
1618833363,29,19
1618834265,0,70
1618835301,18,12
1618835623,0,66
1618837234,16,15
1618837815,256,85
1618839123,22,13
1618839542,0,86
1618841080,22,11
1618841444,0,83
1618842965,22,18
1618843534,256,0
1618843608,0,93
1618845125,27,8
1618845336,0,51
1618847045,20,7
1618847419,0,95
1618849218,34,15
1618849518,256,58
1618851128,17,10
1618852502,0,167
1618853045,25,12
1618854980,23,11
1618855694,0,177
1618856884,20,17
1618859060,32,8
1618859703,0,145
1618860981,43,16
1618861816,0,123
1618862888,30,12
1618864805,31,156
1618866057,0,90
1618866747,43,8
1618868644,32,12
1618870810,34,182
1618871447,256,0
1618871732,0,96
1618872726,23,9
1618873256,0,114
1618874667,316,0
1618875050,256,0
1618876567,37,26
1618878731,28,18
1618879654,0,310
1618880898,27,21
1618881304,0,49
1618882806,32,18
1618883154,0,80
1618884742,29,15
1618886652,26,190
1618888580,38,13
1618889454,0,69
1618890491,34,126
1618892422,37,23
1618892453,0,74
1618893261,0,83
1618894346,36,14
1618896245,35,14
1618896654,0,109
1618898168,44,18
1618898459,0,150
1618899093,0,98
1618900086,34,21
1618902026,29,170
1618902903,0,65
1618903943,32,25
1618905860,36,182
1618906502,0,102
1618908012,54,19
1618908040,0,111
1618909925,39,16
1618911054,0,155
1618911863,37,19
1618911953,0,142
1618913779,44,1963
1618916059,45,44
1618916643,0,7551
1618918084,1713,0
1618918254,6496,0
1618919209,0,67
1618920078,57,35
1618921941,44,48
1618922755,0,797
1618923852,62,42
1618924930,0,419
1618926007,59,51
1618926617,1,359
1618927923,86,48
1618929866,45,298
1618930216,0,375
1618931765,68,60
1618932137,256,207
1618933927,62,47
1618934441,1,473
1618935846,50,311
1618935854,255,0
1618935916,0,11
1618937780,51,57
1618938039,1,260
1618938962,0,122
1618939935,86,69
1618940060,0,200
1618941857,67,41
1618942953,0,276
1618943782,80,68
1618945689,42,37
1618946143,0,569
1618947604,58,38
1618947944,0,283
1618948966,0,404
1618949543,74,61
1618951444,89,42
1618952639,0,313
1618953605,75,70
1618955525,49,55
1618957463,60,36
1618959367,94,62
1618961529,1231,0
1618963453,58,47
1618965382,67,83
1618967290,55,34
1618969447,46,63
1618971611,37,62
1618973527,42,48
1618975490,38,56
1618975854,1,0
1618977367,51,38
1618979534,71,67
1618981517,68,74
1618982316,1,0
1618983372,51,60
1618985300,50,54
1618987209,59,64
1618989127,58,38
1618991063,54,42
1618992055,1,1
1618992964,58,59
1618995132,57,53
1618997048,43,49
1618997657,1,0
1618998987,56,52
1619000883,47,2915
