DateTime,Entries,UniqueIPs
1618445287,776,776
1618446878,763,763
1618450477,788,788
1618454077,850,850
1618455582,863,863
1618457140,891,891
1618457670,893,893
1618460763,936,936
1618462235,959,959
1618463602,957,957
1618464876,972,972
1618468479,1025,1025
1618470630,1060,1060
1618472540,1098,1098
1618475062,1151,1151
1618475677,1156,1156
1618477603,1186,1186
1618478738,1208,1208
1618480246,1229,1229
1618482338,1263,1263
1618484176,1282,1282
1618485610,1305,1305
1618487540,1339,1339
1618488822,1355,1355
1618491037,1385,1385
1618492595,1397,1397
1618494512,1408,1408
1618495848,1422,1422
1618497132,1432,1432
1618498446,1640,1640
1618502002,1703,1703
1618503971,1706,1706
1618504476,1708,1708
1618505585,1709,1709
1618507631,1709,1709
1618508918,1712,1712
1618511595,1737,1737
1618514488,1760,1760
1618516241,1756,1756
1618517522,1758,1758
1618519831,1774,1774
1618521107,1784,1784
1618522473,1790,1790
1618523667,1794,1794
1618525534,1803,1803
1618527040,1803,1803
1618529682,1813,1813
1618530967,1826,1826
1618532343,1831,1831
1618533281,1829,1829
1618534669,1848,1848
1618537835,1867,1867
1618539489,1881,1881
1618541437,1893,1893
1618545036,1904,1904
1618547143,1907,1907
1618548636,1898,1898
1618550738,1923,1923
1618552236,1931,1931
1618553792,1941,1941
1618554875,1950,1950
1618556494,1961,1961
1618558733,1963,1963
1618559859,2007,2007
1618561245,2007,2007
1618563359,2008,2008
1618565432,2011,2011
1618565674,2015,2015
1618567056,2022,2022
1618568733,2028,2028
1618573177,2051,2051
1618574360,2056,2056
1618577439,2060,2060
1618578953,2064,2064
1618581036,2067,2067
1618582726,2073,2073
1618584643,2072,2072
1618587278,2071,2071
1618588892,2070,2070
1618591831,2068,2068
1618593298,2068,2068
1618594475,2061,2061
1618595632,2060,2060
1618599037,2051,2051
1618601675,2047,2047
1618603874,2046,2046
1618606233,2044,2044
1618608629,2041,2041
1618609840,2042,2042
1618611148,2039,2039
1618612477,2038,2038
1618614100,2035,2035
1618616080,2037,2037
1618618461,2028,2028
1618620280,2010,2010
1618621472,1968,1968
1618622801,1969,1969
1618624096,1918,1918
1618625713,1901,1901
1618626879,1876,1876
1618628543,1852,1852
1618630477,1813,1813
1618632825,1778,1778
1618634082,1753,1753
1618638631,1674,1674
1618639817,1652,1652
1618641416,1628,1628
1618644876,1595,1595
1618646496,1566,1566
1618648480,1535,1535
1618651485,1511,1511
1618653037,1472,1472
1618654640,1463,1463
1618656635,1424,1424
1618658349,1403,1403
1618659274,1376,1376
1618661888,1350,1350
1618662875,1338,1338
1618664135,1340,1340
1618666917,1342,1342
1618668072,1318,1318
1618670076,1342,1342
1618671813,1355,1355
1618673510,1368,1368
1618675375,1387,1387
1618678281,1407,1407
1618681132,1408,1408
1618683204,1405,1405
1618685437,1422,1422
1618688077,1424,1424
1618690816,1429,1429
1618691683,1425,1425
1618693329,1432,1432
1618695275,1440,1440
1618697553,1460,1460
1618698885,1469,1469
1618701112,1464,1464
1618702485,1456,1456
1618704747,1453,1453
1618705872,1438,1438
1618707034,1436,1436
1618709677,1410,1410
1618711019,1412,1412
1618713064,1389,1389
1618714314,1389,1389
1618715962,1383,1383
1618720554,1349,1349
1618724209,1325,1325
1618727187,1315,1315
1618730106,1257,1257
1618731540,1243,1243
1618734915,1224,1224
1618739587,1213,1213
1618742258,1200,1200
1618751950,1171,1171
1618753092,1167,1167
1618756749,1175,1175
1618757865,1174,1174
1618761165,1150,1150
1618762639,986,986
1618763679,971,971
1618765548,980,980
1618767272,991,991
1618768411,993,993
1618771114,1014,1014
1618774503,1106,1106
1618778454,1181,1181
1618781661,1224,1224
1618784259,1221,1221
1618785639,1217,1217
1618788863,1215,1215
1618791277,1209,1209
1618792558,1203,1203
1618795605,1201,1201
1618797301,1197,1197
1618799133,1195,1195
1618801136,1194,1194
1618802650,1192,1192
1618803270,1190,1190
