DateTime,AddedIPs,RemovedIPs
1618621451,2,44
1618622784,1,0
1618624069,0,51
1618625699,2,19
1618626864,5,30
1618628508,1,25
1618630464,0,39
1618632802,2,37
1618634068,1,26
1618638619,4,83
1618639786,1,23
1618641394,1,25
1618644864,48,81
1618646479,7,37
1618648466,1,31
1618651470,3,27
1618653026,3,42
1618654629,1,10
1618656622,2,41
1618658338,4,25
1618659262,1,28
1618661877,1,27
1618662863,2,14
1618664124,2,0
1618666897,32,30
1618668056,17,42
1618671797,55,17
1618673496,18,5
1618675359,24,5
1618678268,29,9
1618681120,31,30
1618683193,19,22
1618685425,32,15
1618688063,24,22
1618690802,21,16
1618691667,10,14
1618693302,15,8
1618695262,16,8
1618697536,31,10
1618698868,20,10
1618701100,12,17
1618702469,12,20
1618704736,19,22
1618705854,2,17
1618707022,2,4
1618709664,6,32
1618710997,2,0
1618713041,4,27
1618714297,2,2
1618715944,1,7
1618720531,4,38
1618724198,4,28
1618727172,8,18
1618730094,6,64
1618731529,2,16
1618734905,9,28
1618739574,12,23
1618742236,9,22
1618751914,26,55
1618753080,6,10
1618756736,14,6
1618757854,0,1
1618761146,12,36
1618762626,12,180
1618763666,6,19
1618765524,10,1
1618767261,12,1
1618768397,2,0
1618771100,24,3
1618774464,99,7
1618778429,85,9
1618780231,0,1184
1618781654,1227,0
1618784251,0,3
1618785605,0,4
1618788855,0,2
1618791269,0,6
1618792549,0,6
1618795581,0,2
1618797292,0,4
1618799124,0,2
1618801128,0,1
1618802632,0,2
1618803260,0,2
1618806167,0,1
1618809475,0,1
1618810454,0,2
1618813988,0,13
1618815566,0,44
1618821215,0,6
1618823249,0,1
1618824855,0,3
1618826068,0,1
1618827519,0,2
1618828701,0,5
1618832004,0,5
1618833179,0,1
1618834301,0,2
1618835673,0,17
1618837543,0,27
1618839569,0,34
1618841478,0,20
1618843646,0,28
1618844817,0,14
1618847457,0,21
1618849556,0,16
1618852155,0,41
1618855158,0,46
1618859363,0,34
1618861846,0,23
1618864511,0,28
1618866405,0,20
1618869810,0,42
1618871767,0,13
1618873922,0,21
1618879701,0,15
1618881227,0,2
1618882435,0,5
1618886387,0,8
1618888417,0,3
1618890330,0,3
1618893305,0,7
1618895755,0,7
1618897844,0,6
1618901451,0,7
1618902833,0,7
1618904968,0,7
1618906536,0,4
1618908068,0,9
1618910059,0,6
1618911327,0,7
1618912603,0,3
1618916645,0,555
1618917829,536,0
1618919260,0,6
1618921321,0,5
1618923839,0,25
1618926650,0,8
