DateTime,AddedIPs,RemovedIPs
1618625738,6,8
1618626889,9,11
1618628580,0,11
1618630491,4,4
1618632836,3,11
1618634091,0,11
1618638639,3,27
1618639835,4,11
1618641429,2,10
1618644886,2,23
1618646603,3,7
1618648489,5,10
1618651545,4,7
1618653046,5,5
1618654653,2,3
1618656644,7,11
1618658364,1,5
1618659283,2,4
1618661896,0,3
1618662889,2,5
1618664143,5,0
1618666945,7,11
1618668095,6,5
1618670089,2,7
1618671862,6,6
1618673544,8,8
1618675403,3,7
1618678290,15,5
1618681140,24,1
1618683214,21,5
1618685453,9,4
1618688087,10,12
1618690832,8,2
1618691694,4,0
1618693371,5,4
1618695289,6,2
1618697608,9,1
1618698895,2,4
1618701120,5,3
1618702503,5,6
1618704755,10,1
1618705898,6,5
1618707043,11,2
1618709686,11,4
1618711031,5,0
1618713114,7,9
1618714323,3,2
1618715971,1,2
1618720571,3,12
1618724218,7,11
1618727259,3,4
1618730114,4,4
1618731549,1,5
1618734933,3,22
1618739596,14,21
1618742272,4,10
1618751972,10,83
1618753101,7,3
1618756762,16,10
1618757874,2,0
1618761173,10,1
1618762650,2,1
1618763687,2,3
1618765579,3,1
1618767282,3,2
1618768421,2,0
1618771122,6,7
1618774516,34,4
1618778478,13,2
1618781668,2,39
1618784265,0,12
1618785782,0,2
1618788868,0,2
1618791284,0,1
1618792564,0,4
1618793782,0,2
1618795658,0,3
1618797307,0,11
1618799141,0,1
1618801142,0,4
1618803277,0,2
1618806211,0,1
1618807899,0,2
1618809488,0,4
1618810467,0,3
1618812770,0,3
1618815586,0,1
1618821227,0,11
1618823776,0,3
1618824870,0,5
1618826082,0,4
1618827536,0,2
1618828716,0,2
1618832064,0,8
1618833233,0,1
1618834355,0,8
1618835745,0,3
1618837599,0,5
1618839629,0,3
1618841532,0,6
1618843716,0,9
1618844883,0,3
1618847516,0,11
1618849615,0,14
1618852226,0,29
1618855243,0,17
1618859410,0,19
1618861894,0,12
1618864578,0,12
1618866463,0,6
1618869867,0,14
1618871826,0,7
1618873973,0,11
1618879760,0,49
1618881295,0,2
1618882513,0,9
1618886455,0,6
1618888501,0,2
1618890392,0,2
1618892543,0,3
1618893352,0,5
1618895809,0,2
1618897889,0,5
1618899170,0,2
1618901501,0,3
1618902882,0,2
1618905027,0,5
1618906596,0,2
1618908127,0,13
1618910114,0,3
1618911366,0,6
1618912650,0,2
1618916679,0,2
1618919327,0,5
1618923932,0,23
1618926700,0,10
1618930298,0,12
1618932050,0,5
1618934518,0,9
1618937355,0,5
1618939059,0,4
1618940157,0,5
1618941898,0,12
1618945924,0,36
1618947195,0,6
1618949132,0,1
1618952735,0,1
